,tweet
59,@RGVaerialphotos @indnstar @Thomaseo01 @JaxLR07 @CSI_Starbase @RLT_Spaceflight @DeffGeff @TekG33k @BingoBoca @MrPleasantRS @rocketjunkie94 Massey’s gun range is being turned into a rocket test facility. Perfect match.
60,@IMAO_ @neontaster Agreed
61,@neontaster We will also be adding simple formatting features like bold, underline &amp; font size later this quarter.   The goal is to allow people to publish long-form natively on Twitter, rather than forcing them to use another website.  Twitter will continue to recommend brevity in tweets.
62,@neontaster Yes, these will get the same Timeline screen space as other tweets, but you will be able to click for more
63,I hope that the people of Brazil are able to resolve matters peacefully
64,(Chart by James Stephenson)  
65,@TrungTPhan 🔥🤣
66,@micsolana Step up your game 🤣🤣
67,Easy swipe right/left to move between recommended vs followed tweets rolls out later this week.  First part of a much larger UI overhaul.  Bookmark button (de facto silent like) on Tweet details rolls out a week later.  Long form tweets early Feb.
68,@WholeMarsBlog We have a real shot at late February.  March launch attempt appears highly likely.
69,@DavidSacks It will go lower
70,@PeterDiamandis Risky Business (great movie)
71,@BillyM2k 🤣
72,@TheBabylonBee 🤣
73,@SamTwits @CommunityNotes
74,@TheRabbitHole84 👀
75,@NASASpaceflight It’s amazing to see them work in unison – so much has to go right for that to happen!
76,@engineers_feed Lol no, Newton’s Third Law
77,Plaid is sickkk
78,@Jason The mind virus is strong in the Bay Area
79,@mayemusk @CBSNews @Twitter The fake emerald mine thing is so annoying (sigh). Like where exactly is this thing anyway!?
80,@WholeMarsBlog Looks like V11.3 will be ready for wide release in about 2 weeks. Many major improvements.
81,@TrungTPhan !
82,@MuskUniversity Happy days tbh
83,@paulg True
84,Thread on how safe Tesla cars are
85,@paulg People on Twitter should like more tweets in general!
86,@BillyM2k @KevinChunilal Nice
87,@WholeMarsBlog @ValerianIlies People still don’t get it
88,@_TheRealTony3_ @MercedesBenz @Tesla @SawyerMerritt Good for them
89,@RichardGarriott Tanks are a deathtrap now. With neither side having air superiority, you’re left with infantry &amp; artillery – essentially WW1.
90,@BillyM2k 🤣
91,@TheRabbitHole84 An actual Jurassic Park would be awesome
92,(JCO was joking btw)
93,8 years later &amp; still no laws … 😢  
94,@TheBabylonBee 🤣
95,@pmarca Twitter has at least 10 million Wokeys
96,@hodgetwins Looking into it
97,@laralogan This demands an explanation
98,@HowThingsWork_ The Drone Wars are already a big deal, but we ain’t seen nothing yet …
99,If I dig my grave deep enough, maybe it comes out other side of Earth 🤔
100,@RenataKonkoly Great advice! 🤣🤣
101,Some habits are hard to break lol.  Maybe I should just get bulletproof shoes …
102,@lrocket Hi Tom!
103,@Hitch_Slapping @DrJBhattacharya True
104,Ouch my feet!!
105,@cb_doge @MrAndyNgo @josephmenn @ExplainThisBob Will do. He is a good bot.
106,@MrAndyNgo @josephmenn Joseph Menn is a contemptible liar. Twitter policy has always been to suspend accounts that clearly &amp; repeatedly incite violence.
107,@jonastyle_ Journalists should do shots every time there is a negative article about me …
108,Elon Musk should
109,Subtle, but I am beginning to suspect opinions differ on this matter …  If not McCarthy, then seriously who?
110,@ChrisJBakke 🤣
111,Sped up trip there &amp; back again
112,@tomselliott 🤣🤣
113,@heliobeltrao @Rconstantino @rothbard_brasil If it is ordered by the court, do we have any choice?
114,Kevin McCarthy should be Speaker
115,@pmarca 🤦‍♂️
116,@MuskUniversity Necessary to make life multiplanetary
117,@pmarca It’s a new world. Goodbye homework!
118,@CathieDWood Wow
119,@Basti Public likes &amp; non-public likes (aka bookmarks) should both be included in like count.   Bookmark button should be on main tweet view.
120,@GadSaad True.
0,An aviation expert explains how the FAA’s critical NOTAM safety system works  
1,French CNIL fined Tiktok $5.4 Million for violating cookie laws  
2,Malware Attack on CircleCI Engineer's Laptop Leads to Recent Security Incident  
3,Cacti Servers Under Attack as Majority Fail to Patch Critical Vulnerability  
4,Russians say they can grab software from Intel again  
5,TikTok Fined $5.4 Million by French Regulator for Violating Cookie Laws  
6,Cisco Issues Warning for Unpatched Vulnerabilities in EoL Business Routers  
7,Meta sues “scraping-for-hire” service that sells user data to law enforcement  
8,The Week in Ransomware - January 13th 2023 - LockBit in the spotlight  
9,US Department of the Interior's passwords easily cracked  
10,3 ways Malwarebytes helps you browse securely and privately online  
11,Vulnerabilities in cryptographic libraries found through modern fuzzing  
12,NortonLifeLock: threat actors breached Norton Password Manager accounts  
13,Royal Mail’s ‘cyber incident’ appears to be a ransomware attack  
14,PoC exploits released for critical bugs in popular WordPress plugins  
15,Hacked! My Twitter user data is out on the dark web -- now what?  
16,Time to junk your old Cisco routers again - critical bug won't be fixed  
17,Hackers are using this old trick to dodge security protections  
18,FortiOS flaw was exploited to compromise governmental targets (CVE-2022-42475)  
19,Laptop tracking software means Canadian must pay employer for 'time theft'  
20,Deserialized web security roundup – Slack, Okta security breaches, lax US government passwords report, and more   
21,Pro-Russian Hacktivist Group Targets Czech Presidential Election  
22,Beware: Tainted VPNs Being Used to Spread EyeSpy Surveillanceware  
23,Russian Hackers Try to Bypass ChatGPT's Restrictions For Malicious Purposes  
24,NortonLifeLock warns that hackers breached Password Manager accounts  
25,Third-party Twitter clients are broken, whether by policy or glitch  
26,Cisco Warns of Critical Vulnerability in End-of-Life Routers  
27,Threat Report 13th January 2023  
28,Pro-Russia group NoName057(16) targets Ukraine and NATO countries  
29,Buggy Microsoft Defender ASR rule deletes Windows app shortcuts  
30,Microsoft Defender ASR rules remove icons and apps shortcuts from Taskbar  
31,LockBit ransomware operation behind the Royal Mail cyberattack  
32,In the Fight Against Scams, ‘Cyber Ambassadors’ Enter the Chat  
33,Cybercriminals Using Polyglot Files in Malware Distribution to Fly Under the Radar  
34,Long data privacy notices aren't foolproof, Euro watchdog tells Meta  
35,Royal Mail's Attackers Linked to Russia-Backed LockBit  
36,Euro Police Bust Multimillion-Dollar Crypto Fraud Gang  
37,Illegal Crypto Transaction Volumes Hit All-Time High  
38,Get Unified Cloud and Endpoint Security: Only $1 for 1,000 Assets for all of 2023!  
39,FortiOS Flaw Exploited as Zero-Day in Attacks on Government and Organizations  
40,Millions of Insurance Customers Compromised Via Supplier  
41,This can’t be a real bomb threat: you've called a modem, not a phone  
42,Euro-cops shut down crypto scam that bilked millions from unwitting punters  
43,Threat actors target govt networks exploiting Fortinet SSL-VPN CVE-2022-42475 bug  
44,Microsoft fumbles zero trust upgrade for some Asian customers  
45,Twitter claims there’s “no evidence” 200 million leaked usernames and email addresses came from an exploit of its systems  
46,The Royal Mail tells customers to hold international items after ‘cyber incident’  
47,Vulnerability with 9.8 severity in Control Web Panel is under active exploit  
48,Hackers exploit Control Web Panel flaw to open reverse shells  
49,WhatsApp lawsuit against NSO Group greenlit by Supreme Court  
50,Update now! Patch Tuesday January 2023 includes one actively exploited vulnerability  
51,Royal Mail cyberattack linked to LockBit ransomware operation  
52,NSA director urges Congress to renew controversial intelligence authority  
53,Critical vulnerabilities in Siemens PLC devices could allow bypass of protected boot features (CVE-2022-38773)  
54,RAT malware campaign tries to evade detection using polyglot files  
55,Critical bug in Cisco EoL Small Business Routers will receive no patch  
56,Microsoft tests live kernel memory dumps in Windows 11 Task Manager  
57,Microsoft: Exchange Server 2013 reaches end of support in 90 days  
58,Android TV box on Amazon came pre-installed with malware  
59,Law firm slams SEC for 'blatant fishing expedition' stemming from Hafnium attack  
60,Fortinet says hackers exploited critical vulnerability to infect VPN customers  
61,Microsoft: Cuba ransomware hacking Exchange servers via OWASSRF flaw  
62,Royal Mail hit by ransomware attack by group demanding payment  
63,Indigenous tech group asks Apache Foundation to change its name  
64,MetaMask warns of new 'Address Poisoning' cryptocurrency scam  
65,Cisco won’t fix router flaws even though PoC exploit is available (CVE-2023-20025, CVE-2023-20026)  
66,The Guardian Confirms UK Members' Data Was Accessed in Ransomware Attack  
67,S3 Ep117: The crypto crisis that wasn’t (and farewell forever to Win 7) [Audio + Text]  
68,European police takes down call centers behind cryptocurrency scams  
69,FAA outage that grounded flights blamed on old tech and damaged database file  
70,Telegram Bot Abuse For Phishing Increased By 800% in 2022  
71,Vice Society ransomware claims attack on Australian firefighting service  
72,Threat actors actively exploit Control Web Panel RCE following PoC release  
73,Threat actors claim access to Telegram servers through insiders  
74,Cyber-Threat Actors Tailoring Attacks to Key Sectors  
75,Fortinet: Govt networks targeted with now-patched SSL-VPN zero-day  
76,New tool protects against vulnerabilities in popular file converter ImageMagick  
77,Google Chrome 'SymStealer' Vulnerability Could Affect 2.5 Billion Users  
78,IcedID Malware Strikes Again: Active Directory Domain Compromised in Under 24 Hours  
79,Over 100 Siemens PLC Models Found Vulnerable to Firmware Takeover  
80,Quantum computing is harder than herding kittens  
81,Cyberattack halts Royal Mail's overseas post  
82,5 must-haves for K-12 cybersecurity  
83,Report: Illicit cryptocurrency activity reached all-time high in 2022  
84,Twitter: 200M dataset was not obtained through the exploitation of flaws in its systems  
85,GitHub disables pro-Russian hacktivist DDoS pages  
86,Quarter of UK SMBs Hit by Ransomware in 2022  
87,Twitter: Leak of 200 Million Accounts Not Due to Historic Bug  
88,Experts Detail Chromium Browser Security Flaw Putting Confidential Data at Risk  
89,Patch where it Hurts: Effective Vulnerability Management in 2023  
90,Royal Mail Halts International Deliveries After Cyber-Incident  
91,Social marketplace Trustanduse exposes nearly half a million users  
92,VALL-E AI can mimic a person’s voice from a three-second snippet  
93,Twitter Denies Hacking Claims, Assures Leaked User Data Not from its System  
94,Alert: Hackers Actively Exploiting Critical Control Web Panel RCE Vulnerability  
95,US think tank says China would probably lose if it tries to invade Taiwan  
96,'Cyber incident' halts Royal Mail's international export services  
98,Microsoft's first Patch Tuesday of 2023 delivers a massive 98 fixes  
99,2023 prediction: Security workforce shortage will lead to nationally significant cyberattack  
100,Open redirect on government website sends users to adult content  
101,Maternal &amp; Family Health Services discloses ransomware attack months after discovery  
102,Identity thieves bypass security questions to access Experian credit reports  
103,Royal Mail is suffering service disruption due to a ‘cyber incident’  
104,Royal Mail, cops probe 'cyber incident' that's knackered international mail  
105,Hundreds of SugarCRM servers infected with critical in-the-wild exploit  
106,Gootkit Loader campaign targets Australian Healthcare Industry  
107,Scattered Spider hackers use old Intel driver to bypass security  
108,Microsoft 365 Basic gives you 100GB of OneDrive space (but no Office) for $2  
109,Chuck E. Cheese still uses floppy disks in 2023, but not for long  
110,AI-generated phishing emails just got much more convincing  
111,Twitter claims leaked data of 200M users not stolen from its systems  
112,A widespread logic controller flaw raises the specter of Stuxnet  
113,Threema claims encryption flaws never had a real-world impact  
114,Cisco warns of auth bypass bug with public exploit in EoL routers  
115,Guardian says cyber attack exposed identity and financial details of staff  
116,Hackers discover that vulnerabilities are rife in the auto industry  
117,New Analysis Reveals Raspberry Robin Can be Repurposed by Other Threat Actors  
118,New APT Dark Pink Hits Asia-Pacific, Europe With Spear Phishing Tactics  
119,Gootkit malware abuses VLC to infect healthcare orgs with Cobalt Strike  
120,Report: Apple is developing its own in-house Micro LED displays  
121,Royal Mail halts international services after cyberattack  
122,Microsoft fixes Windows database connections it broke in November  
123,Multiple Danish Banks Disrupted By DDoS Cyber-Attack  
124,Royal Mail’s international parcel service hit by ‘cyber incident’  
125,German cartel watchdog objects to the way Google processes user data  
126,Sensitive Files From San Francisco Transit Police Allegedly Leaked  
127,Threema disputes crypto flaws disclosure, prompts security flap  
128,Iran to use facial recognition to identify women without hijabs  
129,Australian Healthcare Sector Targeted in Latest Gootkit Malware Attacks  
130,A Police App Exposed Secret Details About Raids and Suspects  
131,LastPass breach exposes how US breach notification laws can leave consumers in the lurch  
132,Flights grounded nationwide as FAA’s notice system suffers outage  
133,Darktrace shares slump below IPO price after new customers slow  
134,Customer and Employee Data the Top Prize for Hackers – Imperva  
135,Applications Five Years or Older Likely to have Security Flaws  
136,US CISA adds MS Exchange bug CVE-2022-41080 to its Known Exploited Vulnerabilities Catalog  
137,Unlock Your Potential: Get 9 Online Cyber Security Courses for Just $49.99  
138,Over 100 CVEs Addressed in First Patch Tuesday of 2023  
139,Researchers: Large language models will revolutionize digital propaganda campaigns  
140,Dark Pink APT Group Targets Governments and Military in APAC Region  
141,Microsoft Patch Tuesday for January 2023 fixed actively exploited zero-day  
142,Swiss Army's Threema messaging app was full of holes – at least seven  
143,New Dark Pink APT group targets govt and military with custom malware  
144,Dark Pink, a newly discovered hacking campaign, threatens Southeast Asian military, government organizations  
145,Microsoft Issues January 2023 Patch Tuesday Updates, Warns of Zero-Day Exploit  
146,Health insurer Aflac blames US partner for leak of Japanese cancer policy info  
147,Microsoft ends Windows 7 extended support today -- install all updates now to fix all known issues... and gain Secure Boot support  
148,Privacy on the line: Boffins break VoLTE phone security  
149,A fifth of passwords used by federal agency cracked in security audit  
150,Controversy erupts over non-consensual AI mental health experiment  
151,Microsoft Patch Tuesday: One 0-day; Win 7 and 8.1 get last-ever patches  
152,First Patch Tuesday of the year explodes with an in-the-wild exploit  
153,US school district sues Facebook, Instagram, Snapchat, TikTok over harm to kids  
154,Polite WiFi loophole could allow attackers to drain device batteries  
155,Pokemon NFT card game malware chooses you  
156,Microsoft ends extended support for Windows 7 and Windows Server 2008 today  
157,CISA orders agencies to patch Exchange bug abused by ransomware gang  
158,Over 1,300 fake AnyDesk sites push Vidar info-stealing malware  
159,Microsoft Patch Tuesday, January 2023 Edition  
160,Russian meddling in 2016 US presidential election was weak sauce  
161,StrongPity hackers target Android users via trojanized Telegram app  
162,Lorenz ransomware gang plants backdoors to use months later  
163,StrongPity APT spreads backdoored Android Telegram app via fake Shagle site  
164,Microsoft fixes ODBC connections broken by November updates  
165,Trojan Puzzle attack trains AI assistants into suggesting malicious code  
166,Windows 11 KB5022303 and KB5022287 cumulative updates released  
167,Windows 10 KB5022282 and KB5022286 updates released  
168,Microsoft fixes issue causing 0xc000021a blue screen crashes  
169,Report: Apple plans to use its own Wi-Fi and Bluetooth chip in future iPhones  
170,A Siemens S7-1500 Logic Controller Flaw Raises the Specter of Stuxnet  
171,Microsoft January 2023 Patch Tuesday fixes 98 flaws, 1 zero-day  
172,Iowa’s largest school district cancels classes after cyberattack  
173,US Supreme Court Allows WhatsApp to Sue NSO Group  
174,Popular JWT cloud security library patches “remote” code execution hole  
175,Researchers Find Security Flaw in JsonWebToken Library Used By 20,000+ Projects  
176,StrongPity Hackers Distribute Trojanized Telegram App to Target Android Users  
177,Zoom Rooms was affected by four “high” severity vulnerabilities  
178,California e-ink platemaker exploited to track equipped cars  
179,GitHub Adds Features to Automate Vulnerability Code Scanning  
180,Wiretap lawsuit accuses Apple of tracking iPhone users who opted out  
181,Hackers target Android users with fake Shagle video-chat app  
182,In-House vs. External Pen Testing: Which is Right For Your Organization?  
183,Messenger billed as better than Signal is riddled with vulnerabilities  
184,Prototype pollution-like bug variant discovered in Python  
185,Expert Analysis Reveals Cryptographic Weaknesses in Threema Messaging App  
186,Italian Users Warned of Malware Attack Targeting Sensitive Information  
187,Open-source tech leaders urge new Congress to prioritize privacy in blockchain regulation  
188,Cybercriminals Using ChatGPT to Build Hacking Tools, Write Code  
189,Ukraine: Russian Cyber-Attacks Should Be Considered War Crimes  
190,Remote code execution bug discovered in the popular JsonWebToken library  
191,Using MSPs to administer your cloud services  
192,Critical Security Flaw Found in jsonwebtoken Library Used by 22,000+ Projects  
193,Kinsing malware targets Kubernetes environments via misconfigured PostgreSQL  
194,Pakistan’s government to agencies: the dark web is dangerous, please don’t go there  
195,Hackers can trick Wi-Fi devices into draining their own batteries  
196,DHS and CISA building an AI-based cybersecurity analytics sandbox  
197,Security vulnerabilities in major car brands revealed  
198,Crypto-inspired Magecart skimmer surfaces via digital crime haven  
199,Louisiana wants your ID if you're looking at adult-only websites  
200,Slack private code on GitHub stolen  
201,A week in security (January 1 - 8)  
202,Rackspace ransomware attack was executed by using previously unknown security exploit  
203,Microsoft’s new AI can simulate anyone’s voice with 3 seconds of audio  
204,Flipper Zero: 'Can you really hack Wi-Fi networks?' and other questions answered  
205,Microsoft: Kubernetes clusters hacked in malware campaign via PostgreSQL  
206,Airline company Air France-KLM discloses security breach  
207,US Supremes deny Pegasus spyware maker's immunity claim  
208,Darknet drug markets move to custom Android apps for increased privacy  
209,People are already trying to get ChatGPT to write malware  
210,GitHub makes it easier to scan your code for vulnerabilities  
211,Phishing campaign targets government institution in Moldova  
212,Auth0 fixes RCE flaw in JsonWebToken library used by 22,000 projects  
213,Freejacking Campaign By PurpleUrchin Bypasses Captchas  
214,Supreme Court clears way for WhatsApp case against NSO Group, opening spyware firm to more lawsuits  
215,ChatGPT Used to Develop New Malicious Tools  
216,Fake OnlyFans dating sites abuse UK Environment Agency open redirect  
217,UK Environment Agency site hacked to redirect to OnlyFans phish  
218,Microsoft fixes Windows 11 bug behind 0x800700b7 provisioning errors  
219,This Mac ransomware is old but it could still cause you big problems  
220,Dark Web Actors Fight For Drug Trafficking and Illegal Pharmacy Supremacy  
221,Russia-linked Cold River APT targeted US nuclear research laboratories  
222,Kinsing Cryptojacking Hits Kubernetes Clusters via Misconfigured PostgreSQL  
223,CircleCI – code-building service suffers total credential compromise  
224,Identity Thieves Bypassed Experian Security to View Credit Reports  
225,New Study Uncovers Text-to-SQL Model Vulnerabilities Allowing Data Theft and DoS Attacks  
226,Why Do User Permissions Matter for SaaS Security?  
227,inSicurezzaDigitale launches the Dashboard Ransomware Monitor  
228,Meet teler-waf: Security-focused 
229,Millions of Vehicles at Risk: API Vulnerabilities Uncovered in 16 Major Car Brands  
230,How much security is enough?  
231,Global Cyber-Attack Volume Surges 38% in 2022  
232,Resecurity Released a Status Report on Drug Trafficking in the Dark Web (2022-2023)  
233,Threat Actors Spread RAT Via Pokemon NFT Card Site  
234,Malicious PyPI Packages Using Cloudflare Tunnels to Sneak Through Firewalls  
235,FCC Wants to Accelerate Breach Reporting for Telcos  
236,Qualcomm Snapdragon flaws impact Lenovo, Microsoft, Lenovo, and Samsung devices  
237,Top SaaS Cybersecurity Threats in 2023: Are You Ready?  
238,Hackers Can Abuse Visual Studio Marketplace to Target Developers with Malicious Extensions  
239,Insurer Beazley launches first catastrophe bond for cyber threats  
241,Microsoft ends Windows 7 extended security updates on Tuesday  
242,Windows 7 to stop receiving extended security updates on Tuesday  
243,Hackers push fake Pokemon NFT game to take over Windows devices  
244,Russian and Belarusian men charged with spying for Russian GRU  
245,Dridex targets MacOS users with a new delivery technique  
246,Russian hackers targeted US nuclear research laboratories, records reveal  
247,Security Affairs newsletter Round 401 by Pierluigi Paganini  
248,No more holidays for US telcos, FCC is cracking down  
249,Russian Turla Hackers Hijack Decade-Old Malware Infrastructure to Deploy New Backdoors  
250,Chick-fil-A launched an investigation into “suspicious activity”  
251,IcedID malware campaign targets Zoom users  
252,Malicious PyPi packages create CloudFlare Tunnels to bypass firewalls  
253,Iran says it foiled cyberattack on central bank  
254,Hive Ransomware gang leaked 550 GB stolen from Consulate Health Care  
255,Slack Discloses Breach of Its Github Code Repository  
256,What Twitter’s 200 million email leak really means  
257,Chinese researchers' claimed quantum encryption crack looks unlikely  
258,Here's how to remotely takeover a Ferrari...account, that is  
259,The Week in Ransomware - January 6th 2023 - Targeting Healthcare  
260,New Twitter data dump is a cleaned up version of old Twitter dump  
261,LA housing authority is latest LockBit ransomware victim  
262,Malware targets 30 unpatched WordPress plugins  
263,Software engineer allegedly stole $300K from an e-commerce site by copying Office Space  
264,Seven free alternatives to the LastPass password manager  
265,ChatGPT is enabling script kiddies to write functional malware  
266,Saint Gheorghe Recovery Hospital in Romania suffered a ransomware attack  
267,Chick-fil-A investigates reports of hacked customer accounts  
268,Freedom for MegaCortex ransomware victims - the fix is out  
269,Air France and KLM notify customers of account hacks  
270,VSCode Marketplace can be abused to host malicious extensions  
271,Ransomware decryption tool: Victims of MegaCortex can now unlock their files for free  
272,Microsoft details techniques of Mac ransomware  
273,FCC wants telecom carriers to report data breaches faster  
274,WhatsApp Unveils Proxy Support to Tackle Internet Censorship  
275,RSA crypto cracked? Or perhaps not!  
276,Hackers Using CAPTCHA Bypass Tactics in Freejacking Campaign on GitHub  
277,FCC proposes stronger data breach rules, faster notifications for telecoms  
278,How to prioritize effectively with threat modeling  
279,Blind Eagle Hacking Group Targets South America With New Tools  
280,Amazon S3 will now encrypt all new data with AES-256 by default  
281,Car hackers discover vulnerabilities that could let them hijack millions of vehicles  
282,The US cybersecurity imperative: fortifying critical infrastructure   
283,Rackspace: Play Ransomware gang used a previously unknown exploit to access its Hosted Exchange email environment  
284,Microsoft shares temporary fix for ODBC database connection issues  
285,US Family Planning Non-Profit MFHS Confirms Ransomware Attack  
286,Exploit drops for remote code execution bug in Control Web Panel  
287,Dridex malware pops back up and turns its attention to macOS  
288,Notorious Russian hacking group appears to resurface with fresh cyberattacks on Ukraine  
289,Microsoft Reveals Tactics Used by 4 Ransomware Families Targeting macOS  
290,Dridex Malware Now Attacking macOS Systems with Novel Infection Method  
291,Twitter Data Leak: What the Exposure of 200 Million User Emails Means for You  
292,January 6 Report: 11 Details You May Have Missed  
293,UK Schools Hit by Mass Leak of Confidential Data  
294,Personal Storage Table Files Accessed in Rackspace Attack  
295,Bitdefender released a free decryptor for the MegaCortex ransomware  
296,Security Industry Hits Back with MegaCortex Decryptor  
297,JP Morgan must face suit from Ray-Ban maker after crooks drained $272m from accounts  
298,Ransomware Disruption at The Guardian to Last at Least a Month  
299,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach  
300,WhatsApp Introduces Proxy Support to Help Users Bypass Internet Censorship  
301,Second cabinet minister says Twitter account hacked  
302,FBI warns of imposter ads in search results  
303,Software provider denied insurance payout after ransomware attack  
304,Fake Flipper Zero websites look to cause a big splash  
305,Google patches 60 vulnerabilities in first Android update of 2023  
306,New device? Here's how to safely dispose of your old one  
307,NYC schools block ChatGPT, fearing negative impact on learning  
308,Rackspace blames ransomware woes on zero-day attack  
309,First LastPass, now Slack and CircleCI. The hacks go on (and will likely worsen)  
310,Rackspace: Customer email data accessed in ransomware attack  
311,Now this password-stealing Android malware wants to grab your bank details too  
312,Threat actors stole Slack private source code repositories  
313,Twitter data dump: 200m+ account database now free to download  
314,Bitdefender releases free MegaCortex ransomware decryptor  
315,Zoho urges admins to patch severe ManageEngine bug immediately  
316,Turla, a Russian Espionage Group, Piggybacked on Other Hackers' USB Infections  
317,How hackers might be exploiting ChatGPT  
318,France fines Apple for targeted App Store ads without consent  
319,ChatGPT banned in NYC schools over learning impact concerns  
320,Hackers Leverage Compromised Fortinet Devices to Distribute Ransomware  
321,S3 Ep116: Last straw for LastPass? Is crypto doomed? [Audio + Text]  
322,WhatsApp adds proxy support to help bypass Internet blocks  
323,It's time to focus on information warfare's hard questions  
324,Five Guys Discloses Data Breach Affecting Employee PII  
325,Tesla tackles CORS misconfigurations that left internal networks vulnerable  
326,Zoho urges fixing a critical SQL Injection flaw in ManageEngine  
327,Over 200 Million Twitter Users' Details Leaked on Hacker Forum  
328,WhatsApp Launches Proxy Tool to Fight Internet Censorship  
329,Blind Eagle Hackers Return with Refined Tools and Sophisticated Infection Chain  
330,SpyNote Android malware infections surge after source code leak  
331,Hackers use CAPTCHA bypass to make 20K GitHub accounts in a month  
332,Irish Data Protection Commission fined Meta $414 Million  
333,Devs urged to rotate secrets after CircleCI suffers security breach  
334,Cryptocurrency hacks shot up in 2022, amounting to almost $4 billion in losses  
335,Bluebottle Cybercrime Group Preys on Financial Sector in French-Speaking African Nations  
336,Twitter whistleblower Peiter 'Mudge' Zatko lands new gig at Rapid7  
337,Bluebottle hackers used signed Windows driver in attacks on banks  
338,SpyNote Strikes Again: Android Spyware Targeting Financial Institutions  
339,Mitigate the LastPass Attack Surface in Your Environment with this Free Tool  
340,French-speaking cybercriminals continue attacks on African banks  
341,Cops Catch Serial Child Abuser After Tech Breakthrough  
342,Meta to Appeal €390m GDPR Fine  
343,CircleCI Urges Customers to Rotate Secrets Following Security Incident  
344,The Evolving Tactics of Vidar Stealer: From Phishing Emails to Social Media  
345,Rail Tech Giant Wabtec Discloses Global Data Breach  
346,Slack's private GitHub code repositories stolen over holidays  
347,Fortinet and Zoho Urge Customers to Patch Enterprise Software Vulnerabilities  
348,CircleCI warns of security breach — rotate your secrets!  
349,Irish Regulators Fine Facebook $414 Million for Forcing Users to Accept Targeted Ads  
351,Chinese researchers claim success in breaking encryption with quantum computers  
352,Data of 235 million Twitter users leaked online  
353,Update VPN Plus Server now! Synology patches vulnerability with a CVSS of 10  
354,Ex-GE engineer gets two years in prison after stealing turbine tech for China  
355,Critical flaws found in Ferrari, Mercedes, BMW, Porsche, and other carmakers  
356,New SHC-compiled Linux malware installs cryptominers, DDoS bots  
357,Rackspace confirms Play ransomware was behind recent cyberattack  
358,Mud, sweat and data: The hard work of democratizing data at scale  
359,Hundreds of WordPress sites infected by recently discovered backdoor  
360,Database of the  
361,200 million Twitter users’ email addresses allegedly leaked online  
362,The Guardian ransomware attack hits week two as staff told to work from home  
363,Zoho urges admins to patch critical ManageEngine bug immediately  
